IP    0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
Na    0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
Na+   0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
K     0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
K+    0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
Rb    0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
Rb+   0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
Cs    0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
Cs+   0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
Cu+   0.000    Calculated from B3LYP/6-311++G(2d,2p) level of theory (Keyword: "SP Polar MaxDisk=10GB", "{Exact polarizability}"*0.529177208**3)
Ag+   0.000    Calculated from B3LYP/SDD level of theory
Tl+   0.000    Calculated from B3LYP/SDD level of theory
F-    0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
Cl-   0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
IM    0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
Br-   0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
I-    0.0000   From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
Be2+  0.0000   Caculated from B3LYP/6-311++G(2d,2p) level of theory
Cu2+  0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
CU    0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Ni2+  0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Zn    0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
ZN    0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Zn2+  0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Co2+  0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Cr2+  0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Fe    0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
FE    0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Fe2+  0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Mg    0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
MG    0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Mg2+  0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
V2+   0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Mn2+  0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Hg2+  0.000    Caculated from B3LYP/SDD level of theory
Cd2+  0.000    Caculated from B3LYP/SDD level of theory
Ca2+  0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
C0    0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Sn2+  0.000    Caculated from B3LYP/SDD level of theory
Sr2+  0.000    Caculated from B3LYP/SDD level of theory
Ba2+  0.000    Caculated from B3LYP/SDD level of theory
Al3+  0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Fe3+  0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Cr3+  0.000    Caculated from B3LYP/6-311++G(2d,2p) level of theory
Y3+   0.000    Caculated from B3LYP/SDD level of theory
In3+  0.000    Caculated from B3LYP/SDD level of theory
La3+  0.000    Caculated from B3LYP/SDD level of theory
Ce3+  0.000    Caculated from MP2/SDD level of theory
Pr3+  0.000    Caculated from B3LYP/SDD level of theory
Nd3+  0.000    Caculated from B3LYP/SDD level of theory
Sm3+  0.000    Caculated from B3LYP/SDD level of theory
